base 3-2
base-devel 1-2
brightnessctl 0.5.1-3
dhcpcd 10.2.4-1
discord 1:0.0.104-1
efibootmgr 18-3
eww-git 0.6.0.r88.gfddb4a0-1
fastfetch 2.49.0-1
fcitx5 5.1.14-1
fcitx5-configtool 5.1.10-1
fcitx5-gtk 5.1.4-1
fcitx5-mozc 2.31.5810.102.gb091429-1
fcitx5-qt 5.1.10-1
firedragon-bin 1:11.29.0_1-1
firefox 141.0.3-1
git 2.50.1-3
go 2:1.24.6-1
grim 1.5.0-2
grub 2:2.12.r292.g73d1c959-1
hyprland 0.50.1-1
hyprpaper 0.7.5-3
jq 1.8.1-1
kitty 0.42.2-1
linux 6.15.9.arch1-1
linux-firmware 20250708-1
linux-headers 6.15.9.arch1-1
nano 8.5-1
neovim 0.11.3-1
networkmanager 1.54.0-1
nodejs 24.5.0-1
noto-fonts-cjk 20240730-1
npm 11.5.2-1
pamixer 1.6-3
pipewire-alsa 1:1.4.7-1
pipewire-pulse 1:1.4.7-1
ranger 1.9.4-4
rust 1:1.88.0-1
sddm 0.21.0-6
slurp 1.5.0-1
thunar 4.20.4-1
ttf-hack-nerd 3.4.0-1
visual-studio-code-bin 1.102.3-1
waybar 0.14.0-1
wayland 1.24.0-1
wireplumber 0.5.10-1
xdg-desktop-portal-hyprland 1.3.10-1
yay 12.5.0-1
yay-debug 12.5.0-1
